language,tweet_count
"on tv. (Watch: https://t.co/zRpdtDM4Ew) Here's what the law says. https://t.co/g99jsror2o\"",1
"‘No reason\"",1
"you must walk by faith.\"\" #JesusCalling\"",1
"is s… https://t.co/a43BDs99F7\"",1
"bruh?\"\" https://t.co/VpjJu7h2rv\"",1
"lets MAGA 🇺🇸\"",1
"with vulnerability...\"",1
"'dabbed.'\"\" https://t.co/ojWpKTBeeH\"",1
"… https://t.co/GQmDSCHbU3\"",1
"but there must be a better distribution of wealth.\"\" -Dr. Martin Luther King Jr. #MLKDay\"",1
his tiny finger moving under each word as Bannon looks on,1
you cow,1
"так и соберётся\"\" (с) �  #Всем_Добра@rus_improvisation2\"",1
"and three or more is a #congress.\"\"-- John Adams\"",1
"Caring & ready for the spiritual revolution. #blackintelligence   #bktwr https://t.co/h5hulgiYUg\"",1
"что законы ЕС или понятия не знают христианские. �'\"",1
"теперь очередь Вашингтона! https://t.co/CjhlIkJmSI\"",1
is NOT an Intelligence Report,1
"anywhere - to beat them harder than ever\"\". � https://t.co/JUmZv5ebVf\"",1
"that's code for give em the \"\"heave ho!!!\"\"\"",1
"como me parece a antisoviética propaganda!  https://t.co/HXAP73cH4n\"",1
"that you have to consider in your section.\"",1
"Jimmy! https://t.co/IltV60XPGD\"",1
"Курильское озеро https://t.co/nz13lfurWx\"",1
"you speak French now https://t.co/FOa9eJmQBw\"",1
Chloe Mesa,1
for one,1
"but request that money too.\"",1
"but he told me to tell you... GET READYYYYYYYYYYYY!\"\" https://t.co/40YjTizo9j\"",1
"что в жизни их вояки ну никак не похожи на этого голливудского \"\"хероя\"\"...'\"",1
"therapeutic space for me. 2/\"",1
"he died\"\". Is this gonna be in your first sermon at the church o… https://t.co/8E1muoHzVz\"",1
"in the classroom. https://t.co/NZ12R3guE5\"",1
"мороз» Наш Песенный Флешмобhttps://t.co/FoO6EedMaZ\"",1
"https://t.co/4hBBl1DKxb\"",1
without question,1
"would be wrong.\"\" - Spicer",1
"so that we really never live at  all.\"\"-Leo Tolstoy\"",1
bowling,1
horrible,1
"\"\" meaning white. They knew what Trump was saying",1
"and it stinks of its hypocrisy.\"\"  H. Rap Brown https://t.co/cLc1KpXZm4 https://t.co/g2A8826RZE\"",1
"& loving the ppl who r doing the oppressing.\"\" ~Malcolm X https://t.co/fSf7GsFeqN\"",1
"за кадром слышно: \"\"ГОЛУБОЙ\"\" ВАГОН БЕЖИТ КАЧАЕТСЯ... https://t.co/fKeGSyy3S6'\"",1
"котёнке с улицы Лизюкова https://t.co/CoEs8cG6Ze\"",1
"ein Führer\"\" https://t.co/4t3KoHvzlx\"",1
"#Syria\"",1
"we’re st…\"\" https://t.co/zKt9QZ7eqm\"",1
"and the Presidency.\"",1
"wisdom & humor\"\" as Litari told us in a recent note\"",1
"regarding the #taxcredit program @THR https://t.co/MwyRbQO90f\"",1
MK Asante and Voli take up for the #homeless,1
"if it wasnt 4 u...\"\"\"",1
"And Could Go That Way Again \"\" https://t.co/jFIjqU22pT\"",1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/F9JiE5e0lK\"",1
"a 19-year-old female… https://t.co/t7aTkcfmyR\"",1
"that's only half if they like you\"\" #Grammy_Family_Freestyle\"",1
son,1
"&amp; @Slim400 via @MassAppeal  https://t.co/WQlDcMN2dz https://t.co/PCru93amhx\"",1
"whatever word you want to use. I hate fame. I've done everything I can to avoid it\"\" https://t.co/z5yEZRoKLc #waxmuseum\"",1
"crooked shrew whose only accomplishment was marrying Bill Clinton.\"\" https://t.co/uImb05ah0g\"",1
"а вас наши ебут.'\"",1
"uh...I did it.\"\"\"",1
"these steps will... https://t.co/2EKNOaE1dM\"",1
"so that's fine\"\" https://t.co/GMrFZt1YxI\"",1
"&amp; they do not mature.\"\"\"",1
"Бога на всех не хватит.\"",1
"these steps will... https://t.co/GtNTpMBRON\"",1
"' and 'Kodak moment.'\"\" #FallonTonight https://t.co/q1vVo4IZxB\"",1
"are “renegade cities”  for interposing their city government again… https://t.co/rVfqOqbWFR\"",1
"run in ya lane/So I can come through doin a hundred and change\"\" #A_Million_And_One_Questions\"",1
"@PublicEnemyFTP !!! https://t.co/y7v91lOEwE\"",1
"ни @anzgri!\"",1
жена,1
'Luv me plz,1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/aPlEXIaAY6\"",1
"\"\" #DylannRoof said in jail journal. #RoofTrial\"",1
"major wart in his noise. He would not get elected today\"\" https://t.co/4RNlaJPUCv\"",1
"you will be saved. -Romans 10:9\"",1
"Comment) 🙌💯✊💯✊💯🙌\"",1
"and stop trips to John Meniel (Menielly)\"\"\"",1
"other rapists will be empowered ��\"",1
"classrooms.. https://t.co/jnTvXqqquq\"",1
"Skyzoo &amp; DJ Revolution)\"\" Blu &amp; Nottz #HerFavColor",1
"and our refusal to acknowledge it as such is why 62 million people voted for a sociopath.\"",1
"Asap Rocky https://t.co/suSjb5br68 #RAF https://t.co/8fCOXnF4QN\"",1
"says  top Democrat adviser\"\" https://t.co/OSQNXcmJof\"",1
"is not a word. It's your Twitter do what u like'\"",1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/Ss0fjVdY2n\"",1
"ПЖиВ!'\"",1
my rappin' is similar to mothafuckers when they scrapping',1
"как тут же объявили отбой тревоги. Вот куда теперь диван ташить?\"",1
"не так ли?'\"",1
такие же зомби. просто одни лижут жопу Путину,1
"and will be able to achieve their dreams.\"\" - @RealBenCarson https://t.co/B4mtR658zr\"",1
"А. Пыжиков и Г. Арта... https://t.co/6urHSLTIm4 с помощью @YouTube\"",1
"my man'll shoot cha\"\" #La_La_La(ExcuseMeMissAgain)\"",1
"\"\" &amp; \"\"evil.\"\" Should he get mental health exam?\"",1
"will take whatever measures are necessary to protect … https://t.co/OpynovO2JY\"",1
"empowered\"\" https://t.co/yFHEy80SON\"",1
"and brand! https://t.co/3W3sq4MhLf\"",1
я — нет,1
RESPECT,1
"Scota (ScotlandScotia?) meets her maker. https://t.co/9A1jvpXztu\"",1
"&amp; doctors brin… https://t.co/oL5t9ABbRX\"",1
"воюющие с ним \"\"на земле\"\"  http://t.co/oJbhFGS8Zr\"",1
"doesn't make one presidential\"\" https://t.co/x7zelTvLMr https://t.co/DSdPKyjS0O\"",1
разумеется,1
"I don't owe niggaz shit\"\" #Come_And_Get_Me\"",1
"your time is up. It's \"\"WINNING TIME\"\". #tcot #ccot  #2a #NRA  #Trump2016 https://t.co/KOEZ8wkrzC\"",1
plunder,1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/bRVAcB0lQq\"",1
",United States,English,12/29/2016 19:16,12/29/2016 19:17,306,693,4110,RETWEET,Left,1,LeftTroll,0,1652262638,814550779671576577,http://twitter.com/1652262638/statuses/814550779671576577,,,",1
"ladies. https://t.co/f7Bb6V47gv\"",1
"себе в очко засунь.'\"",1
take ya pick / Jackson,1
и не понимаешь,1
"at 8:00 P.M. Enjoy!\"",1
his name is Charlie,1
"and we continually move forward.\"\" -VP Biden\"",1
"be a billionaire\"\"",1
with women they dont really like,1
"нормальный парень.Или они это про Магомаева?\"",1
побежал в туалет,1
"Skyzoo &amp; DJ Revolution)\"\" Blu &amp; Nottz https://t.co/dUjx2ZOI4g\"",1
"BETTER  Please RT  #POTUS #WitchHu… https://t.co/Z7yDzRAn8e\"",1
"this I kno in my heart / Now I'm so enlightened I might glow in da dark\"\"\"",1
pro choicer,1
heads out to store,1
"тот о том и говорит!\"\"© 😆'\"",1
"лишился лицензии  http://t.co/LBinRF3iw4\"",1
"Donald. LOOK AT ME.\"\" https://t.co/A5OuPJz5Bh\"",1
"… https://t.co/OuBUqRrN9n\"",1
"keep yo' shit the same\"\" #ComingOfAge\"",1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/ym1HPACOEf\"",1
"I should be rappin wit a turban\"\" #Hova_Song(Intro)\"",1
"https://t.co/zwJWU54Io3\"",1
"I won't mind.'\"",1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/vRQ0xHJjRS\"",1
"yes!\"\" https://t.co/dJuc1QGdsz https://t.co/l7Ni0litjp\"",1
"No!\"\" - https://t.co/WggkPiDzRI #IFWT\"",1
"is too uncomfortable...\"",1
Kim K,1
y'all. The struggle must be so very,1
"until we get it right.\"\" #FireServinNow  Our #SayHerName action is today! http://t.co/uBFYom6wBO\"",1
"не становится https://t.co/9Bw1ltWDbk\"",1
"he just smiled and shot both my kneecaps\"\" https://t.co/jTFSYePD9R\"",1
I'm fast,1
"2 тонн наличности.  https://t.co/UqkjUM8R2d\"",1
suddenly,1
а в том,1
"& not think about your personal safety\"\" https://t.co/cy7jF8qf5V\"",1
"bigot who hates women)!\"\" https://t.co/NwxkRHlLe2\"",1
"5 mln aziende\"\" @ConsulentiLavor https://t.co/etadT2lfdX https://t.co/yXLnTpJC7F\"",1
men,1
"где КАЛина патреоты? https://t.co/ZcUqotrXWf\"",1
"Richard Emil Miller (1875-1943). https://t.co/IXAchVIPnX\"",1
Master P,1
"yeah it's like the Beatles back\"\"\"",1
"45 anni fa https://t.co/8l9gj0fUKO\"",1
"you better not cry... https://t.co/yeyFHxlM8Z\"",1
"негодяи и подлецы!\"\" Жириновский   УК РФ ст. 119 Угроза убийством\"",1
I don't have a car,1
"такого наказания нет.\"",1
"а мы СМИ.\"",1
"чтобы покидать школьников в автозаки. Простая арифметика правоохранительных органов\"",1
"my flag!\"\"  You won't see this on CNN https://t.co/zHEFA3LELv\"",1
"запрыгнуть на плиту. https://t.co/bNRnA8KhdR\"",1
"читающего Гамлета (!) свинтили за секунды.\"",1
"he has 2 dogs\"\" http://t.co/7ks9gnPOXp\"",1
"la provocazione di #Libero per l'#8marzo https://t.co/daAWJXF9rS https://t.co/I3Dy7ke0rl\"",1
"мне полегчало прям! https://t.co/EPRji5PLaq\"",1
"get it? Black Jack in a casino A nigga got unlimited credit\"\"\"",1
"and we're trying to shut it down now.” #OregonUnderAttack #treason #USA\"",1
"ecco una proposta di sobrietà e trasparenza\"\" blog di @VanninoChiti https://t.co/TNrpSKgy7T https://t.co/Glp5SmAIvI\"",1
I wondered,1
да,1
"Clinton/Booker 2020 https://t.co/OFSCX1ZrCV\"",1
я знаю,1
chillin,1
"только выйдите\"\" ААААААААААА https://t.co/ubeH86uIAx\"",1
"me ne arrivano a centinaia\"\" https://t.co/ZYfVmkWPjc https://t.co/QVbmbi9P8s\"",1
"дайте квартиру и ДА ХРАНИ ВАС БОГ\"\" - вся Россия в одном звонке\"",1
что сейчас делается в России. И я отвечу- воруют,1
"aggravated assault and theft.'\"",1
"up first.\"",1
"know the Feds is 'buggin' my life\"\" #DeadPresidentsII\"",1
Israel,1
"is distraction.\"\" #BlackHistoryMonth #BHM #racism #tcot #tlot https://t.co/Aby4PiJkbm\"",1
"by writing class-action bans in2 the clauses\"\" https://t.co/nfvZ4rXwrK any1know him?\"",1
"Skyzoo &amp; DJ Revolution)\"\" by Blu &amp; Nottz https://t.co/dUjx306jsQ\"",1
"il tweet di Medici senza frontiere https://t.co/63MvhKoEMd https://t.co/cbueNY2uLE\"",1
ты мертв,1
"they said. \"\"I don't see color\"\"",1
"https://t.co/M0eL5jQsXz via @usatoday\"",1
"according to Russian state media https://t.co/QDrhIFnt4G https://t.co/j42Wyvzafl\"",1
"it'll be as if nothing happened.\"\"  https://t.co/1VvHIb2WPQ\"",1
посидел,1
3 чехла,1
"он просто об этом не знает\"\"'\"",1
"achha lage ga\"\"\"",1
"а надружил!\"",1
"è un esempio di narrativa d’inchiesta sulla #globalizzazione https://t.co/gjzRxufkjB\"",1
"si ammette\"\" https://t.co/BjyICt7hAt https://t.co/bXEqhk78jE\"",1
"Uncompromising: In Harlem for #RiseUpOctober\"\"  http://t.co/zOsPXdqiJf http://t.co/gWZc2HeVh1'\"",1
"STOP WEARING SHIT FOR OTHER PEOPLES ACCEPTANCE\"",1
"Gimmie Climate Change Denial!\"\"\"",1
"Obama is killing Africans with drones. +\"",1
"то РФ обречена.\"",1
"ОКБ Сухого представило смету по расходам ... https://t.co/KSe6QvLXdz\"",1
"because demanding submission and obedience reveals the means of domination\"",1
"подкуп и т.д. (ОБНОВЛЯЕТСЯ) https://t.co/5GD50RpuwQ Специально для \"\"ослепшей\"\" Э. Памфиловой\"",1
